Model,Val_RMSE,Val_MAE,Val_R2,Val_MAPE,Test_RMSE,Test_MAE,Test_R2,Test_MAPE
Ridge,0.5126083260114772,0.24698806015795113,0.9928965184427837,6.364243147848997,0.5988602261135678,0.3125622206209711,0.9891303102422107,8.073940271813363
ElasticNet,0.5103787941612754,0.247458732877332,0.9929581756418774,6.4253686917694885,0.5996023060903766,0.3171686210709167,0.9891033551151541,8.205573122542202
Linear,0.5202733721321048,0.2491998269269615,0.9926824930514013,6.058098206884567,0.6001183568582915,0.3071979723244436,0.9890845905382649,7.767339357344919
Ensemble_Avg(ElasticNet+Lasso),0.5169101850279086,0.2612435027662061,0.9927767919450903,6.204690704102771,0.6003956918545956,0.31693625519551477,0.989074499447067,8.134818310936748
Lasso,0.5125197514502194,0.24547361891565994,0.9928989730786962,6.303848008285688,0.6015119774152143,0.31697225277116825,0.9890338352105957,8.070013255527684
Ensemble_Weighted,0.4723175110012984,0.2447270424072331,0.9939692956262834,5.323932833482691,0.6108478130183245,0.3175330687848632,0.9886907903413137,6.973040018683391
Ensemble_Stacking,0.4232456181915284,0.22408135696125858,0.9951573298746175,9.276159979095736,0.6315250481896452,0.341523198564922,0.9879121970955875,10.906212184342293
Ensemble_Avg(Ensemble_Weighted+XGBoost),0.48387535580543434,0.25182022694456824,0.9936705357275705,5.197622905076933,0.6573126904219124,0.3489667883094931,0.9869048570727875,6.984294484785742
RandomForest,0.6181532214463854,0.2768799687788277,0.9896701927184848,4.894583405560294,0.6823072380206102,0.4007973878058219,0.98589002755985,7.515749037660721
XGBoost,0.52282355704923,0.2719459124986147,0.9926105818929439,5.150258168144572,0.72473032451054,0.39328321442008024,0.9840808792834902,7.459139443324965
MLP,0.611706985037628,0.3691428810544527,0.9898845123351514,10.684683876258843,0.7824567526657452,0.46624590966355656,0.9814438918710653,14.045841233554995
LSTM,0.8289193014051178,0.4729245184432892,0.9815203870908841,12.367090677524569,0.8878000050306077,0.5293073056382126,0.9763530117829539,14.462231855654487
PatchTST,1.132854375896366,0.4753608184656656,0.9653064997322724,61.706825757916896,0.9014006699003523,0.5292864808518636,0.9753735414576,10.16290999420778
TimesFM,0.9098844325590398,0.4725479699477467,0.9776193644738524,9.88357244271476,0.9473248087137953,0.5405823152540321,0.9728003052341355,9.932685797188139
