model,RMSE,MAE,R2
Linear,3.5357771032124394,1.6370551569057323,0.6197877790645034
Ridge,3.2702707222486844,1.4820773029855856,0.67474519108717
Lasso,3.214859884491282,1.4649963561590622,0.6856739226082602
ElasticNet,3.140430273897434,1.468256278292767,0.7000598360941699
PCA+Linear,3.387448791014157,1.9839436947195899,0.651018993411538
Manual NN,1.2289478209542497,0.6706414698834313,0.9540671702454967
LSTM,1.7430741138083767,1.0776666787474654,0.9147145829268906
GNN,3.6132364829850245,2.339911806400602,0.602946446518987
